1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,KitchenQual_Enc,GarageFinish_Enc,BsmtExposure_Enc,BsmtFinType1_Enc
882,0.0,2.0,0,0,308,1956.0,882,12702,70.0,0.0,45,5,5,0,1956,1956,97000,2,0.0,-1.0,-1.0
1337,0.0,2.0,266,1139,511,1998.0,1337,4060,34.0,0.0,68,5,6,1405,1998,1999,181000,3,2.0,0.0,4.0
2076,0.0,2.0,1386,690,850,2006.0,2076,13891,107.0,0.0,229,5,10,2076,2006,2006,465000,4,-1.0,3.0,4.0
1328,1203.0,4.0,56,1198,752,1995.0,2531,12257,65.0,513.0,98,5,8,1318,1995,1995,290000,3,1.0,2.0,-1.0
981,787.0,3.0,569,162,240,1939.0,1768,7200,60.0,252.0,0,7,5,731,1937,1950,175000,3,0.0,0.0,3.0
1625,0.0,2.0,1573,0,538,2006.0,1625,4750,44.0,481.0,0,5,8,1573,2006,2007,235000,3,-1.0,3.0,-1.0
1444,700.0,4.0,697,747,389,1958.0,2144,159000,69.0,472.0,98,7,6,1444,1958,2006,277000,3,2.0,3.0,1.0
1521,0.0,3.0,0,1237,880,1988.0,2775,13500,75.0,0.0,502,9,10,1237,1893,2000,325000,3,0.0,0.0,0.0
1140,728.0,3.0,0,585,477,1984.0,1868,12090,78.0,74.0,112,7,6,585,1984,2003,178000,2,2.0,0.0,0.0
1525,0.0,3.0,1400,125,541,2000.0,1525,9100,70.0,244.0,36,5,7,1525,2000,2000,235000,3,1.0,2.0,4.0
1571,0.0,3.0,0,1571,722,2007.0,1571,10991,89.0,80.0,36,5,8,1571,2007,2007,239000,3,2.0,3.0,-1.0
796,0.0,2.0,0,796,0,0.0,796,8777,67.0,0.0,0,7,5,796,1910,1950,85000,2,-1.0,0.0,0.0
1378,994.0,4.0,0,994,432,1985.0,2372,6600,60.0,0.0,287,4,5,994,1892,1965,107500,2,1.0,0.0,0.0
802,670.0,3.0,0,384,402,1991.0,1472,10784,69.0,76.0,0,5,7,384,1991,1992,160000,3,1.0,0.0,0.0
960,0.0,0.0,648,0,364,1965.0,960,10246,69.0,0.0,0,9,4,648,1965,2001,145000,2,0.0,2.0,4.0
734,1104.0,4.0,0,732,372,2005.0,1838,21930,60.0,0.0,40,5,5,732,2005,2005,192140,2,2.0,2.0,0.0
1309,0.0,3.0,663,0,484,1974.0,1309,10140,78.0,99.0,0,6,6,1040,1974,1999,181000,3,1.0,0.0,3.0
2069,574.0,3.0,0,2153,694,2006.0,2643,13693,105.0,772.0,84,5,9,2153,2006,2006,380000,4,2.0,2.0,0.0
676,455.0,3.0,0,676,200,1941.0,1131,5720,52.0,0.0,0,6,5,676,1941,1950,66500,2,0.0,0.0,0.0
960,1000.0,4.0,0,960,400,1952.0,1960,7596,60.0,360.0,0,5,5,960,1952,1952,124500,2,0.0,0.0,0.0
1144,0.0,3.0,25,247,336,1962.0,1144,9204,71.0,0.0,88,5,5,1144,1963,1963,124000,2,0.0,0.0,2.0
1056,0.0,0.0,1056,0,576,1980.0,1056,6979,64.0,0.0,56,5,6,1056,1980,1980,144000,2,0.0,0.0,4.0
693,0.0,2.0,0,693,0,0.0,693,4118,153.0,0.0,20,4,4,693,1941,1950,52500,1,-1.0,0.0,-1.0
1494,0.0,3.0,1200,279,576,1997.0,1494,9236,79.0,0.0,27,5,6,1479,1997,1997,217000,3,1.0,3.0,4.0
1646,0.0,2.0,1373,221,482,2004.0,1646,3842,44.0,174.0,53,5,8,1594,2004,2005,275000,3,2.0,3.0,4.0
864,0.0,3.0,390,474,352,1989.0,864,7180,60.0,0.0,0,7,5,864,1972,1972,127000,2,0.0,2.0,3.0
1566,0.0,3.0,1078,488,750,2008.0,1566,9000,75.0,36.0,168,5,8,1566,2008,2008,262500,3,1.0,2.0,4.0
735,660.0,3.0,593,130,497,1972.0,1395,12936,69.0,0.0,116,6,6,723,1972,1972,162000,2,0.0,0.0,2.0
848,0.0,2.0,152,628,539,1962.0,1208,6240,52.0,0.0,23,5,4,780,1925,1950,103000,2,0.0,0.0,2.0
939,574.0,4.0,0,939,180,1933.0,1513,6120,51.0,0.0,0,8,5,939,1920,2004,137500,2,0.0,1.0,0.0
959,408.0,3.0,425,459,560,1978.0,1367,6240,52.0,0.0,0,6,6,884,1931,1950,127500,2,-1.0,0.0,-1.0
955,0.0,3.0,763,192,386,1966.0,955,7742,66.0,0.0,0,7,5,955,1966,1966,127000,2,0.0,0.0,2.0
1077,0.0,3.0,0,1007,210,1922.0,1077,9786,60.0,0.0,100,4,3,1007,1922,1950,91000,2,0.0,0.0,0.0
1056,0.0,3.0,1056,0,572,1955.0,1056,34650,100.0,0.0,0,5,5,1056,1955,1955,145000,2,2.0,1.0,1.0
756,797.0,3.0,0,756,615,2005.0,1553,8125,65.0,0.0,45,5,7,756,2005,2006,186500,3,1.0,0.0,0.0
1614,0.0,3.0,20,1594,865,2005.0,1614,11210,86.0,240.0,59,5,7,1614,2005,2006,221500,3,1.0,2.0,4.0
2042,0.0,3.0,0,2042,1390,2009.0,2042,12704,98.0,306.0,90,5,8,2042,2008,2009,253293,4,1.0,0.0,-1.0
1073,0.0,2.0,0,1073,326,1968.0,1073,5400,60.0,0.0,0,6,5,1073,1921,1968,108480,2,-1.0,0.0,0.0
1072,213.0,2.0,336,295,240,1948.0,1285,8635,50.0,0.0,0,5,5,672,1948,2001,127000,2,0.0,0.0,2.0
2117,0.0,4.0,865,340,550,1970.0,2117,12925,69.0,0.0,42,7,6,1205,1970,1970,237500,2,2.0,1.0,2.0
605,0.0,2.0,348,180,0,0.0,605,9098,58.0,0.0,0,7,4,528,1920,2002,86000,2,-1.0,1.0,-1.0
1150,0.0,3.0,179,465,300,1959.0,1150,7945,70.0,0.0,0,6,5,1150,1959,1959,141000,2,1.0,0.0,3.0
728,728.0,3.0,0,728,400,2005.0,1456,8029,51.0,0.0,24,5,6,728,2005,2005,176000,3,-1.0,0.0,0.0
999,0.0,3.0,867,77,588,1961.0,999,12122,69.0,210.0,76,9,7,944,1961,2007,178400,4,1.0,2.0,3.0
750,750.0,3.0,0,750,564,2005.0,1500,8846,68.0,0.0,35,5,6,750,2005,2006,173900,3,1.0,0.0,0.0
1336,0.0,2.0,841,324,375,1953.0,1336,15750,90.0,56.0,0,5,5,1165,1953,1953,157000,2,0.0,1.0,2.0
864,729.0,3.0,759,80,398,2004.0,1593,7415,62.0,0.0,75,5,6,839,2004,2004,193000,2,-1.0,0.0,4.0
1130,1054.0,3.0,936,168,836,2008.0,2184,11308,96.0,154.0,102,5,9,1104,2008,2008,335000,4,2.0,2.0,4.0
1560,0.0,3.0,0,1560,573,2003.0,1560,9196,129.0,0.0,150,5,7,1560,2003,2003,201000,3,2.0,0.0,0.0
888,0.0,3.0,386,342,312,1942.0,1644,9480,79.0,224.0,0,7,5,728,1942,1995,146500,3,0.0,0.0,-1.0
630,0.0,3.0,515,115,286,1970.0,630,1526,21.0,0.0,0,8,4,630,1970,2002,86000,3,0.0,2.0,4.0
1113,0.0,3.0,751,392,504,1987.0,1113,7917,69.0,174.0,30,7,6,1143,1976,1976,148000,2,1.0,0.0,2.0
1071,1101.0,3.0,0,1063,947,2006.0,2172,14154,109.0,350.0,62,5,7,1063,2006,2006,280000,3,1.0,0.0,0.0
796,550.0,2.0,0,560,384,1950.0,1346,11767,70.0,0.0,24,7,4,560,1910,2000,112000,2,0.0,0.0,0.0
1184,1426.0,4.0,64,1120,550,2007.0,2610,9000,75.0,0.0,364,5,8,1184,2007,2007,303477,4,2.0,2.0,4.0
1026,932.0,3.0,0,1026,936,2005.0,1958,10625,85.0,0.0,210,5,7,1026,2005,2005,250000,3,2.0,0.0,0.0
1468,0.0,3.0,0,1468,898,2008.0,1468,9612,74.0,72.0,150,5,8,1468,2008,2009,244600,3,2.0,0.0,0.0
1302,432.0,4.0,0,0,539,1977.0,1734,10125,75.0,0.0,0,5,5,0,1977,1977,126000,3,0.0,-1.0,-1.0
768,432.0,3.0,352,416,240,1946.0,1200,11767,70.0,0.0,0,6,5,768,1946,1995,130500,2,0.0,0.0,2.0
1112,438.0,2.0,812,280,438,2007.0,1550,8125,65.0,100.0,168,5,7,1092,2006,2007,241000,3,2.0,0.0,4.0
954,795.0,5.0,0,795,440,1997.0,2230,6204,60.0,0.0,188,5,4,795,1912,1950,118500,2,0.0,0.0,0.0
1166,0.0,3.0,0,1064,240,1936.0,1639,10480,51.0,0.0,0,5,6,1064,1936,1950,115000,2,0.0,0.0,0.0
864,0.0,3.0,521,169,624,1964.0,864,9100,70.0,0.0,0,5,5,864,1958,1958,129900,2,-1.0,0.0,2.0
1621,0.0,3.0,213,995,440,1984.0,1621,14145,91.0,0.0,45,7,7,1208,1984,1998,202500,3,-1.0,1.0,3.0
483,504.0,3.0,162,321,264,1972.0,987,1680,21.0,510.0,0,8,6,483,1972,2007,118000,3,0.0,0.0,3.0
1238,1281.0,4.0,965,245,628,1989.0,2519,26178,42.0,293.0,27,5,7,1210,1989,1990,335000,3,1.0,3.0,4.0
765,600.0,3.0,765,0,440,1970.0,1365,2368,24.0,312.0,36,6,5,765,1970,1970,125000,2,0.0,0.0,-1.0
1149,1141.0,4.0,0,1128,779,2002.0,2290,11250,69.0,0.0,0,5,8,1128,2002,2002,255900,3,0.0,1.0,0.0
1249,1347.0,4.0,0,1249,840,2006.0,2596,16259,111.0,370.0,154,5,9,1249,2006,2006,342643,3,1.0,2.0,0.0
907,0.0,3.0,288,619,352,1964.0,907,8593,77.0,0.0,0,6,4,907,1957,1957,109008,2,0.0,0.0,1.0
855,0.0,3.0,566,289,440,1976.0,1456,2280,24.0,0.0,0,6,6,855,1976,1976,148500,2,-1.0,0.0,3.0
1190,0.0,3.0,803,303,540,1962.0,1190,7728,70.0,120.0,18,6,5,1106,1962,1962,132500,2,-1.0,2.0,3.0
858,0.0,2.0,322,536,684,1979.0,858,7340,69.0,0.0,0,6,4,858,1971,1971,110000,2,0.0,0.0,3.0
2223,0.0,3.0,1880,343,516,1973.0,2223,13651,95.0,1115.0,0,6,7,2223,1973,1973,244000,2,2.0,3.0,3.0
1005,0.0,2.0,0,1005,672,1977.0,1005,10434,60.0,0.0,0,5,4,1005,1955,1955,115000,1,0.0,0.0,0.0
1086,809.0,3.0,0,712,409,1994.0,1895,10832,69.0,0.0,46,5,7,712,1994,1996,194500,3,2.0,0.0,0.0
1040,0.0,3.0,906,134,384,1965.0,1040,11200,70.0,0.0,0,5,5,1040,1965,1965,129500,2,0.0,0.0,1.0
1264,0.0,3.0,697,571,461,1960.0,1264,9300,73.0,324.0,0,5,5,1268,1960,1960,167500,2,0.0,0.0,1.0
874,887.0,3.0,0,874,578,2007.0,1761,10207,84.0,0.0,105,6,7,874,2007,2007,227875,3,2.0,0.0,0.0
1034,0.0,3.0,539,473,888,1976.0,1034,12328,69.0,335.0,0,5,6,1012,1976,1976,169900,2,0.0,2.0,4.0
1363,0.0,2.0,226,96,439,1954.0,1363,39104,73.0,0.0,0,7,7,1385,1954,2005,241500,2,0.0,3.0,-1.0
1689,0.0,3.0,0,1436,480,1956.0,1689,9855,73.0,0.0,0,5,6,1436,1956,1956,127500,2,0.0,0.0,0.0
2113,0.0,2.0,1696,413,839,1995.0,2113,10437,91.0,660.0,46,6,8,2109,1995,1995,350000,3,2.0,3.0,4.0
1573,0.0,3.0,788,785,544,2002.0,1573,9808,67.0,110.0,72,5,7,1573,2002,2002,227000,3,1.0,0.0,4.0
2364,0.0,3.0,2188,142,820,2009.0,2364,12919,100.0,760.0,67,5,9,2330,2009,2010,611657,4,2.0,3.0,4.0
1057,977.0,3.0,739,318,645,1998.0,2034,9375,69.0,573.0,36,5,7,1057,1997,1998,219500,3,1.0,0.0,4.0
1291,0.0,2.0,1003,288,431,1996.0,1291,2887,69.0,0.0,0,5,6,1291,1996,1997,173000,3,0.0,1.0,4.0
858,0.0,2.0,696,162,0,0.0,858,7207,50.0,0.0,0,7,5,858,1958,2008,116500,2,-1.0,3.0,2.0
698,560.0,2.0,204,356,280,1939.0,1258,9060,60.0,0.0,0,5,6,560,1939,1950,105000,2,0.0,1.0,1.0
438,0.0,1.0,290,0,246,1930.0,438,8400,60.0,0.0,0,5,2,290,1920,1950,60000,1,0.0,0.0,1.0
672,728.0,3.0,209,463,440,1978.0,1400,7844,74.0,203.0,0,7,6,672,1978,1978,149500,2,2.0,0.0,3.0
954,0.0,2.0,0,920,240,1938.0,954,6305,50.0,0.0,0,7,5,920,1938,1950,119750,1,0.0,0.0,0.0
1445,0.0,3.0,564,563,645,1964.0,1445,12095,69.0,115.0,0,6,6,1127,1964,1964,158000,2,1.0,3.0,-1.0
1072,0.0,2.0,459,88,525,2005.0,1072,3675,35.0,80.0,28,5,6,547,2005,2005,148000,2,-1.0,3.0,-1.0
1664,0.0,4.0,0,0,0,0.0,1664,9825,75.0,0.0,0,5,5,0,1965,1965,100000,2,-1.0,-1.0,-1.0
1445,689.0,5.0,0,844,441,1930.0,2134,11888,69.0,0.0,60,6,6,844,1916,1994,214500,3,0.0,0.0,0.0
1940,1254.0,4.0,428,537,380,1934.0,3194,12168,78.0,0.0,0,6,8,965,1934,1998,359100,2,0.0,1.0,2.0
912,912.0,4.0,0,912,0,0.0,1824,9400,94.0,0.0,0,5,6,912,1971,1971,139000,2,-1.0,2.0,0.0
888,868.0,3.0,742,130,422,1996.0,1756,9303,69.0,42.0,122,5,6,872,1996,1997,204000,2,2.0,0.0,3.0
912,0.0,2.0,595,317,576,1992.0,912,8872,72.0,300.0,240,8,5,912,1965,2008,147000,3,0.0,0.0,3.0
1509,0.0,3.0,783,678,600,1988.0,1509,10200,85.0,219.0,0,5,6,1461,1988,1989,175000,3,1.0,2.0,4.0
1160,448.0,3.0,264,712,216,1925.0,1608,6171,51.0,0.0,16,6,6,976,1925,1990,137450,3,0.0,0.0,2.0
1316,0.0,3.0,28,1288,397,2005.0,1316,10237,65.0,0.0,0,5,6,1316,2005,2006,169990,3,2.0,0.0,4.0
1015,0.0,3.0,489,279,450,1925.0,1015,6120,51.0,0.0,0,7,5,768,1925,1950,88000,2,0.0,0.0,1.0
756,378.0,3.0,312,444,240,1940.0,1134,8160,60.0,0.0,0,6,5,756,1940,1950,126000,2,0.0,0.0,3.0
1636,0.0,3.0,63,1560,865,2006.0,1636,13501,116.0,208.0,60,5,8,1623,2006,2006,255000,3,1.0,0.0,4.0
660,660.0,3.0,0,660,400,2003.0,1320,7750,69.0,0.0,48,5,7,660,2003,2003,162000,3,2.0,0.0,0.0
1160,966.0,3.0,249,0,538,1967.0,2126,28698,69.0,0.0,0,5,5,1013,1967,1967,185000,2,2.0,3.0,-1.0
1128,0.0,3.0,776,344,525,1963.0,1128,8700,80.0,148.0,20,6,5,1120,1963,1963,155000,2,1.0,1.0,3.0
1306,0.0,2.0,860,132,756,1968.0,1306,8712,64.0,0.0,0,7,5,992,1957,2000,153000,2,0.0,1.0,2.0
798,546.0,3.0,0,546,0,0.0,1344,1533,21.0,0.0,0,6,4,546,1970,2008,97000,2,-1.0,0.0,0.0
1576,978.0,3.0,0,718,704,1996.0,2554,10800,60.0,0.0,48,8,7,718,1890,1998,159500,2,0.0,0.0,-1.0
893,0.0,2.0,220,625,576,1985.0,893,9600,60.0,0.0,0,7,5,845,1949,2003,135000,3,0.0,0.0,3.0
894,1039.0,4.0,0,894,668,2007.0,1933,14598,86.0,74.0,18,5,6,894,2007,2007,214000,3,2.0,1.0,0.0
672,546.0,3.0,356,316,264,1973.0,1218,1890,21.0,285.0,28,5,6,672,1973,1973,113000,2,0.0,0.0,2.0
1161,808.0,3.0,0,808,534,1977.0,1969,11952,92.0,0.0,0,6,7,808,1977,1977,190000,2,1.0,0.0,0.0
1220,870.0,3.0,1079,141,556,1995.0,2090,10000,80.0,438.0,65,5,8,1220,1995,1996,240000,3,1.0,0.0,4.0
1484,0.0,3.0,998,486,487,1971.0,1484,12243,70.0,0.0,0,6,5,1484,1971,1971,175000,2,0.0,2.0,3.0
1656,0.0,4.0,0,1656,506,1973.0,1656,9246,87.0,564.0,211,5,5,1656,1973,1973,135000,2,0.0,0.0,0.0
818,406.0,3.0,468,350,210,1926.0,1224,3950,69.0,0.0,0,8,6,818,1926,2004,115000,2,0.0,0.0,1.0
1022,1032.0,3.0,695,297,390,2000.0,2054,12224,69.0,40.0,48,5,6,992,2000,2000,244000,3,1.0,0.0,4.0
854,0.0,2.0,0,832,576,1991.0,854,6120,51.0,0.0,112,8,7,832,1929,2001,132000,2,0.0,0.0,0.0
546,546.0,3.0,334,212,286,1973.0,1092,1974,69.0,0.0,96,5,4,546,1973,1973,83500,2,1.0,0.0,2.0
1268,0.0,3.0,196,1072,252,1978.0,1268,9286,69.0,0.0,0,7,5,1268,1977,1989,143500,3,0.0,2.0,3.0
827,834.0,3.0,385,70,550,1996.0,1661,10667,43.0,0.0,61,6,7,799,1996,1996,212000,3,1.0,2.0,4.0
1668,0.0,3.0,370,315,502,2003.0,1668,10635,48.0,171.0,262,5,8,1657,2003,2003,232000,3,2.0,2.0,2.0
1493,0.0,3.0,994,484,508,1997.0,1493,13125,75.0,215.0,39,5,6,1478,1997,1998,208900,3,2.0,3.0,4.0
932,0.0,2.0,0,932,306,1950.0,932,8280,57.0,0.0,0,5,6,932,1950,1950,124000,3,0.0,0.0,0.0
1277,0.0,2.0,778,499,526,1970.0,1277,10628,85.0,0.0,0,5,7,1277,1970,1970,167000,2,0.0,3.0,4.0
1530,0.0,3.0,1300,230,630,2004.0,1530,14572,182.0,0.0,36,5,7,1530,2004,2004,259000,3,2.0,2.0,4.0
1344,0.0,2.0,457,193,484,1970.0,1344,9503,69.0,0.0,28,5,5,1024,1958,1983,144000,2,0.0,0.0,3.0
860,0.0,2.0,672,168,528,1996.0,860,8740,74.0,0.0,0,6,5,840,1982,1982,137000,2,0.0,2.0,3.0
1314,0.0,2.0,904,410,626,2008.0,1314,5001,34.0,166.0,62,5,7,1314,2007,2008,230000,3,-1.0,0.0,4.0
1391,571.0,3.0,464,927,868,2006.0,1962,8760,73.0,0.0,90,5,7,1391,2006,2006,239799,3,1.0,1.0,4.0
788,702.0,3.0,724,64,388,2004.0,1490,15384,60.0,0.0,75,5,7,788,2004,2005,184000,3,2.0,2.0,4.0
848,0.0,1.0,662,186,420,2004.0,848,4426,69.0,169.0,0,5,6,848,2004,2004,143000,3,-1.0,2.0,4.0
672,0.0,2.0,0,672,240,1940.0,672,10200,60.0,0.0,0,8,5,672,1940,1997,108000,2,0.0,0.0,0.0
1188,1152.0,4.0,275,877,252,1941.0,2340,9042,66.0,0.0,60,9,7,1152,1941,2006,266500,3,1.0,0.0,4.0
808,704.0,3.0,0,660,180,1916.0,1656,10410,60.0,0.0,0,7,5,660,1916,1987,135000,2,0.0,0.0,0.0
725,754.0,4.0,626,99,484,1972.0,1479,7472,69.0,138.0,32,9,7,725,1972,2004,184000,3,2.0,0.0,3.0
