2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt
872.0,3.0,1.0,738,0.0,319,650,2.0,1929,0,3.848189116991399,1.8388490907372552,0.0,235,5,7,1057,2001
0.0,3.0,0.0,483,1.0,428,576,0.0,954,1,4.03261876085072,1.7403626894942439,0.0,0,5,5,911,1976
0.0,2.0,0.0,1260,2.0,578,765,0.0,1838,2,4.164382600963169,1.9294189257142926,584.0,68,5,9,1838,2006
0.0,3.0,1.0,728,5.0,568,924,0.0,1640,0,4.169615662222747,1.8388490907372552,72.0,0,7,6,1296,1954
0.0,3.0,1.0,1148,5.0,0,672,0.0,1148,1,3.8993279498776543,1.845098040014257,0.0,0,5,5,1148,1959
0.0,3.0,1.0,412,5.0,251,280,0.0,950,1,3.9893608137762473,1.7853298350107671,0.0,0,5,5,950,1971
846.0,3.0,1.0,380,0.0,397,471,1.0,1911,0,3.980185236947335,1.9030899869919435,125.0,81,5,8,777,1993
720.0,3.0,1.0,300,3.0,765,440,0.0,1635,1,3.9413623357117613,1.845098040014257,0.0,38,7,6,1065,1923
0.0,3.0,0.0,0,0.0,1316,440,2.0,1316,0,4.048247531803974,2.012837224705172,0.0,20,5,7,1316,2007
0.0,2.0,1.0,0,0.0,1442,615,1.0,1442,1,4.06881642992222,1.8388490907372552,571.0,0,6,6,1442,1970
0.0,3.0,1.0,734,2.0,344,500,2.0,1078,1,4.0981936258632885,1.8388490907372552,0.0,0,6,5,1078,1971
0.0,3.0,1.0,932,1.0,108,544,1.0,1120,3,3.8432327780980096,1.9294189257142926,0.0,0,5,4,1040,1961
640.0,3.0,1.0,353,2.0,55,527,2.0,1419,0,3.88930170250631,1.8388490907372552,0.0,0,5,8,408,2002
682.0,3.0,1.0,0,0.0,651,240,0.0,1389,1,3.5286596452349897,1.7781512503836436,0.0,0,8,7,651,1946
0.0,3.0,1.0,354,3.0,412,280,1.0,1063,1,3.9965116721541785,1.9030899869919435,110.0,0,5,5,1056,1954
0.0,2.0,2.0,1567,2.0,225,874,2.0,1792,2,4.073571728304925,1.8573324964312685,562.0,49,5,9,1792,2003
0.0,2.0,1.0,897,2.0,319,402,0.0,1216,1,3.6532125137753435,1.505149978319906,116.0,125,5,6,1216,1998
764.0,4.0,1.0,0,0.0,596,576,0.0,1762,0,3.8573324964312685,1.7781512503836436,0.0,0,7,7,596,1920
1112.0,4.0,0.0,0,0.0,847,434,2.0,1959,0,4.0717347638797605,1.7708520116421442,0.0,48,5,7,847,2004
0.0,3.0,1.0,767,1.0,441,546,1.0,1208,1,4.051152522447381,1.8388490907372552,0.0,42,6,6,1208,1977
650.0,3.0,1.0,460,5.0,414,315,0.0,1524,1,4.054766217838991,1.8920946026904804,180.0,0,5,5,874,1958
358.0,3.0,1.0,735,5.0,61,240,0.0,1154,0,3.7352794480604565,1.6020599913279623,0.0,96,8,4,796,1922
0.0,3.0,1.0,0,0.0,0,420,0.0,1048,1,3.8573324964312685,1.7781512503836436,0.0,27,5,5,0,1950
0.0,2.0,1.0,0,0.0,190,273,0.0,886,1,3.7622282842864743,1.6989700043360187,0.0,20,8,5,190,1938
0.0,2.0,2.0,943,2.0,0,600,0.0,943,1,3.8470788620657155,1.8388490907372552,0.0,0,5,5,943,1979
902.0,3.0,1.0,400,2.0,466,603,1.0,1768,0,3.9913590026379504,1.8750612633917,0.0,108,5,7,866,2005
1177.0,4.0,1.0,0,0.0,1393,779,2.0,2599,0,4.169498094684968,2.03342375548695,165.0,30,5,9,1393,1999
0.0,2.0,1.0,456,3.0,456,275,1.0,912,1,4.006466042249231,1.845098040014257,1.0,0,5,5,912,1958
0.0,2.0,1.0,0,0.0,0,308,0.0,882,1,4.103872108403055,1.845098040014257,0.0,45,5,5,0,1956
0.0,2.0,1.0,266,2.0,1139,511,2.0,1337,0,3.6085260335771943,1.5314789170422551,0.0,68,5,6,1405,1998
0.0,2.0,2.0,1386,2.0,690,850,0.0,2076,2,4.142733511313519,2.0293837776852097,0.0,229,5,10,2076,2006
1203.0,4.0,0.0,56,4.0,1198,752,1.0,2531,0,4.088384186097703,1.8129133566428555,513.0,98,5,8,1318,1995
787.0,3.0,1.0,569,1.0,162,240,0.0,1768,0,3.8573324964312685,1.7781512503836436,252.0,0,7,5,731,1937
0.0,2.0,2.0,1573,0.0,0,538,0.0,1625,0,3.6766936096248664,1.6434526764861874,481.0,0,5,8,1573,2006
700.0,4.0,2.0,697,3.0,747,389,2.0,2144,0,5.201397124320452,1.8388490907372552,472.0,98,7,6,1444,1958
0.0,3.0,1.0,0,0.0,1237,880,0.0,2775,0,4.1303337684950066,1.8750612633917,0.0,502,9,10,1237,1893
728.0,3.0,1.0,0,0.0,585,477,2.0,1868,1,4.082426300860772,1.8920946026904804,74.0,112,7,6,585,1984
0.0,3.0,0.0,1400,2.0,125,541,1.0,1525,0,3.9590413923210934,1.845098040014257,244.0,36,5,7,1525,2000
0.0,3.0,2.0,0,0.0,1571,722,2.0,1571,0,4.041037207867029,1.9493900066449128,80.0,36,5,8,1571,2007
0.0,2.0,1.0,0,0.0,796,0,0.0,796,1,3.943346098356591,1.8260748027008264,0.0,0,7,5,796,1910
994.0,4.0,1.0,0,0.0,994,432,1.0,2372,1,3.8195439355418688,1.7781512503836436,0.0,287,4,5,994,1892
670.0,3.0,1.0,0,0.0,384,402,1.0,1472,0,4.032779879191245,1.8388490907372552,76.0,0,5,7,384,1991
0.0,0.0,0.0,648,2.0,0,364,0.0,960,1,4.010554351540322,1.8388490907372552,0.0,0,9,4,648,1965
1104.0,4.0,0.0,0,0.0,732,372,2.0,1838,1,4.341038631677523,1.7781512503836436,0.0,40,5,5,732,2005
0.0,3.0,1.0,663,1.0,0,484,1.0,1309,0,4.006037954997317,1.8920946026904804,99.0,0,6,6,1040,1974
574.0,3.0,0.0,0,0.0,2153,694,2.0,2643,2,4.136498608156699,2.0211892990699383,772.0,84,5,9,2153,2006
455.0,3.0,1.0,0,0.0,676,200,0.0,1131,1,3.7573960287930244,1.7160033436347992,0.0,0,6,5,676,1941
1000.0,4.0,1.0,0,0.0,960,400,0.0,1960,1,3.88058495606498,1.7781512503836436,360.0,0,5,5,960,1952
0.0,3.0,1.0,25,5.0,247,336,0.0,1144,1,3.963976609996606,1.8512583487190752,0.0,88,5,5,1144,1963
0.0,0.0,1.0,1056,2.0,0,576,0.0,1056,1,3.8437931983259124,1.806179973983887,0.0,56,5,6,1056,1980
0.0,2.0,1.0,0,0.0,693,0,0.0,693,3,3.6146863422820124,2.184691430817599,0.0,20,4,4,693,1941
0.0,3.0,2.0,1200,2.0,279,576,1.0,1494,0,3.9654839242451385,1.8976270912904414,0.0,27,5,6,1479,1997
0.0,2.0,2.0,1373,2.0,221,482,2.0,1646,0,3.584557360525675,1.6434526764861874,174.0,53,5,8,1594,2004
0.0,3.0,0.0,390,1.0,474,352,0.0,864,1,3.8561244442423,1.7781512503836436,0.0,0,7,5,864,1972
0.0,3.0,0.0,1078,2.0,488,750,1.0,1566,0,3.9542425094393248,1.8750612633917,36.0,168,5,8,1566,2008
660.0,3.0,1.0,593,5.0,130,497,0.0,1395,1,4.111800006898345,1.8388490907372552,0.0,116,6,6,723,1972
0.0,2.0,1.0,152,5.0,628,539,0.0,1208,1,3.795184589682424,1.7160033436347992,0.0,23,5,4,780,1925
574.0,4.0,3.0,0,0.0,939,180,0.0,1513,1,3.7867514221455614,1.7075701760979363,0.0,0,8,5,939,1920
408.0,3.0,1.0,425,4.0,459,560,0.0,1367,1,3.795184589682424,1.7160033436347992,0.0,0,6,6,884,1931
0.0,3.0,1.0,763,5.0,192,386,0.0,955,1,3.8888531669829365,1.8195439355418688,0.0,0,7,5,955,1966
0.0,3.0,1.0,0,0.0,1007,210,0.0,1077,1,3.990605211423919,1.7781512503836436,0.0,100,4,3,1007,1922
0.0,3.0,3.0,1056,3.0,0,572,2.0,1056,1,4.539703238947825,2.0,0.0,0,5,5,1056,1955
797.0,3.0,1.0,0,0.0,756,615,1.0,1553,0,3.909823369650912,1.8129133566428555,0.0,45,5,7,756,2005
0.0,3.0,0.0,20,2.0,1594,865,1.0,1614,0,4.0496056125949735,1.9344984512435677,240.0,59,5,7,1614,2005
0.0,3.0,1.0,0,0.0,2042,1390,1.0,2042,2,4.1039404850830214,1.9912260756924949,306.0,90,5,8,2042,2008
0.0,2.0,1.0,0,0.0,1073,326,0.0,1073,1,3.7323937598229686,1.7781512503836436,0.0,0,6,5,1073,1921
213.0,2.0,1.0,336,5.0,295,240,0.0,1285,1,3.9362623419034777,1.6989700043360187,0.0,0,5,5,672,1948
0.0,4.0,3.0,865,5.0,340,550,2.0,2117,1,4.11143055176598,1.8388490907372552,0.0,42,7,6,1205,1970
0.0,2.0,3.0,348,0.0,180,0,0.0,605,1,3.9589459324939362,1.7634279935629373,0.0,0,7,4,528,1920
0.0,3.0,1.0,179,1.0,465,300,1.0,1150,1,3.900093901543398,1.845098040014257,0.0,0,6,5,1150,1959
728.0,3.0,1.0,0,0.0,728,400,0.0,1456,0,3.9046614579155245,1.7075701760979363,0.0,24,5,6,728,2005
0.0,3.0,0.0,867,1.0,77,588,1.0,999,2,4.083574279673991,1.8388490907372552,210.0,76,9,7,944,1961
750.0,3.0,1.0,0,0.0,750,564,1.0,1500,0,3.946746935033585,1.8325089127062364,0.0,35,5,6,750,2005
0.0,2.0,3.0,841,5.0,324,375,0.0,1336,1,4.19728055812562,1.954242509439325,56.0,0,5,5,1165,1953
729.0,3.0,1.0,759,2.0,80,398,0.0,1593,1,3.870111155364401,1.792391689498254,0.0,75,5,6,839,2004
1054.0,3.0,0.0,936,2.0,168,836,2.0,2184,2,4.053385799817482,1.9822712330395684,154.0,102,5,9,1104,2008
0.0,3.0,1.0,0,0.0,1560,573,2.0,1560,0,3.9635989625972416,2.110589710299249,0.0,150,5,7,1560,2003
0.0,3.0,1.0,386,4.0,342,312,0.0,1644,0,3.976808337338066,1.8976270912904414,224.0,0,7,5,728,1942
0.0,3.0,0.0,515,2.0,115,286,0.0,630,0,3.1835545336188615,1.3222192947339193,0.0,0,8,4,630,1970
0.0,3.0,1.0,751,5.0,392,504,1.0,1113,1,3.898560644939712,1.8388490907372552,174.0,30,7,6,1143,1976
1101.0,3.0,1.0,0,0.0,1063,947,1.0,2172,0,4.150879191269239,2.037426497940624,350.0,62,5,7,1063,2006
550.0,2.0,1.0,0,0.0,560,384,0.0,1346,1,4.070665753453728,1.845098040014257,0.0,24,7,4,560,1910
1426.0,4.0,0.0,64,2.0,1120,550,2.0,2610,2,3.9542425094393248,1.8750612633917,0.0,364,5,8,1184,2007
932.0,3.0,1.0,0,0.0,1026,936,2.0,1958,0,4.026328938722349,1.9294189257142926,0.0,210,5,7,1026,2005
0.0,3.0,1.0,0,0.0,1468,898,2.0,1468,0,3.9828137621318627,1.8692317197309762,72.0,150,5,8,1468,2008
432.0,4.0,1.0,0,0.0,0,539,0.0,1734,0,4.005395031886706,1.8750612633917,0.0,0,5,5,0,1977
432.0,3.0,1.0,352,5.0,416,240,0.0,1200,1,4.070665753453728,1.845098040014257,0.0,0,6,5,768,1946
438.0,2.0,1.0,812,2.0,280,438,2.0,1550,0,3.909823369650912,1.8129133566428555,100.0,168,5,7,1092,2006
795.0,5.0,1.0,0,0.0,795,440,0.0,2230,1,3.7926717891415676,1.7781512503836436,0.0,188,5,4,795,1912
0.0,3.0,1.0,0,0.0,1064,240,0.0,1639,1,4.020361282647708,1.7075701760979363,0.0,0,5,6,1064,1936
0.0,3.0,1.0,521,5.0,169,624,0.0,864,1,3.9590413923210934,1.845098040014257,0.0,0,5,5,864,1958
0.0,3.0,3.0,213,1.0,995,440,0.0,1621,0,4.15060295179301,1.9590413923210936,0.0,45,7,7,1208,1984
504.0,3.0,1.0,162,1.0,321,264,0.0,987,0,3.225309281725863,1.3222192947339193,510.0,0,8,6,483,1972
1281.0,4.0,2.0,965,2.0,245,628,1.0,2519,0,4.417936463370464,1.6232492903979006,293.0,27,5,7,1210,1989
600.0,3.0,1.0,765,4.0,0,440,0.0,1365,1,3.374381698050882,1.380211241711606,312.0,36,6,5,765,1970
1141.0,4.0,3.0,0,0.0,1128,779,0.0,2290,0,4.051152522447381,1.8388490907372552,0.0,0,5,8,1128,2002
1347.0,4.0,0.0,0,0.0,1249,840,1.0,2596,0,4.211093831058963,2.0453229787866576,370.0,154,5,9,1249,2006
0.0,3.0,1.0,288,3.0,619,352,0.0,907,1,3.934144811792477,1.8864907251724818,0.0,0,6,4,907,1957
0.0,3.0,1.0,566,1.0,289,440,0.0,1456,1,3.357934847000454,1.380211241711606,0.0,0,6,6,855,1976
0.0,3.0,0.0,803,1.0,303,540,0.0,1190,1,3.8880671134074367,1.845098040014257,120.0,18,6,5,1106,1962
0.0,2.0,1.0,322,1.0,536,684,0.0,858,1,3.8656960599160706,1.8388490907372552,0.0,0,6,4,858,1971
0.0,3.0,2.0,1880,1.0,343,516,2.0,2223,1,4.1351644666569545,1.9777236052888478,1115.0,0,6,7,2223,1973
0.0,2.0,1.0,0,0.0,1005,672,0.0,1005,3,4.018450832386356,1.7781512503836436,0.0,0,5,4,1005,1955
809.0,3.0,1.0,0,0.0,712,409,2.0,1895,0,4.034708651341069,1.8388490907372552,0.0,46,5,7,712,1994
0.0,3.0,1.0,906,3.0,134,384,0.0,1040,1,4.049218022670182,1.845098040014257,0.0,0,5,5,1040,1965
0.0,3.0,1.0,697,3.0,571,461,0.0,1264,1,3.9684829485539352,1.863322860120456,324.0,0,5,5,1268,1960
887.0,3.0,1.0,0,0.0,874,578,2.0,1761,0,4.00889811477094,1.9242792860618816,0.0,105,6,7,874,2007
0.0,3.0,0.0,539,2.0,473,888,0.0,1034,1,4.090892625710363,1.8388490907372552,335.0,0,5,6,1012,1976
0.0,2.0,2.0,226,4.0,96,439,0.0,1363,1,4.5922211842264415,1.863322860120456,0.0,0,7,7,1385,1954
0.0,3.0,1.0,0,0.0,1436,480,0.0,1689,1,3.993656628615462,1.863322860120456,0.0,0,5,6,1436,1956
0.0,2.0,2.0,1696,2.0,413,839,2.0,2113,0,4.018575683467251,1.9590413923210936,660.0,46,6,8,2109,1995
0.0,3.0,1.0,788,2.0,785,544,1.0,1573,0,3.9915804571743396,1.8260748027008264,110.0,72,5,7,1573,2002
0.0,3.0,2.0,2188,2.0,142,820,2.0,2364,2,4.111228898234156,2.0,760.0,67,5,9,2330,2009
977.0,3.0,1.0,739,2.0,318,645,1.0,2034,0,3.9719712763997563,1.8388490907372552,573.0,36,5,7,1057,1997
0.0,2.0,3.0,1003,2.0,288,431,0.0,1291,0,3.4604467838807205,1.8388490907372552,0.0,0,5,6,1291,1996
0.0,2.0,2.0,696,5.0,162,0,0.0,858,1,3.8577545220594422,1.6989700043360187,0.0,0,7,5,858,1958
560.0,2.0,3.0,204,3.0,356,280,0.0,1258,1,3.957128197676813,1.7781512503836436,0.0,0,5,6,560,1939
0.0,1.0,1.0,290,3.0,0,246,0.0,438,3,3.9242792860618816,1.7781512503836436,0.0,0,5,2,290,1920
728.0,3.0,1.0,209,1.0,463,440,2.0,1400,1,3.8945375849957466,1.8692317197309762,203.0,0,7,6,672,1978
0.0,2.0,1.0,0,0.0,920,240,0.0,954,3,3.7996850909091004,1.6989700043360187,0.0,0,7,5,920,1938
0.0,3.0,2.0,564,0.0,563,645,1.0,1445,1,4.082605872697899,1.8388490907372552,115.0,0,6,6,1127,1964
0.0,2.0,2.0,459,0.0,88,525,0.0,1072,1,3.5652573434202135,1.5440680443502757,80.0,28,5,6,547,2005
0.0,4.0,1.0,0,0.0,0,0,0.0,1664,1,3.992332559047464,1.8750612633917,0.0,0,5,5,0,1965
689.0,5.0,1.0,0,0.0,844,441,0.0,2134,0,4.0751087964165,1.8388490907372552,0.0,60,6,6,844,1916
1254.0,4.0,3.0,428,5.0,537,380,0.0,3194,1,4.085219201044942,1.8920946026904804,0.0,0,6,8,965,1934
912.0,4.0,0.0,0,0.0,912,0,0.0,1824,1,3.9731278535996988,1.9731278535996986,0.0,0,5,6,912,1971
868.0,3.0,1.0,742,1.0,130,422,2.0,1756,1,3.968623020956989,1.8388490907372552,42.0,122,5,6,872,1996
0.0,2.0,1.0,595,1.0,317,576,0.0,912,0,3.9480215331411035,1.8573324964312685,300.0,240,8,5,912,1965
0.0,3.0,0.0,783,2.0,678,600,1.0,1509,0,4.008600171761918,1.9294189257142926,219.0,0,5,6,1461,1988
448.0,3.0,1.0,264,5.0,712,216,0.0,1608,0,3.7903555464143865,1.7075701760979363,0.0,16,6,6,976,1925
0.0,3.0,1.0,28,2.0,1288,397,2.0,1316,0,4.010172703286779,1.8129133566428555,0.0,0,5,6,1316,2005
0.0,3.0,1.0,489,3.0,279,450,0.0,1015,1,3.7867514221455614,1.7075701760979363,0.0,0,7,5,768,1925
378.0,3.0,1.0,312,1.0,444,240,0.0,1134,1,3.9116901587538613,1.7781512503836436,0.0,0,6,5,756,1940
0.0,3.0,1.0,63,2.0,1560,865,1.0,1636,0,4.130365937265207,2.0644579892269186,208.0,60,5,8,1623,2006
660.0,3.0,1.0,0,0.0,660,400,2.0,1320,0,3.88930170250631,1.8388490907372552,0.0,48,5,7,660,2003
966.0,3.0,2.0,249,4.0,0,538,2.0,2126,1,4.457851631255608,1.8388490907372552,0.0,0,5,5,1013,1967
0.0,3.0,3.0,776,1.0,344,525,1.0,1128,1,3.9395192526186187,1.9030899869919435,148.0,20,6,5,1120,1963
0.0,2.0,3.0,860,5.0,132,756,0.0,1306,1,3.9401178667477184,1.806179973983887,0.0,0,7,5,992,1957
546.0,3.0,1.0,0,0.0,546,0,0.0,1344,1,3.185542154854375,1.3222192947339193,0.0,0,6,4,546,1970
978.0,3.0,1.0,0,0.0,718,704,0.0,2554,1,4.033423755486949,1.7781512503836436,0.0,48,8,7,718,1890
0.0,2.0,1.0,220,1.0,625,576,0.0,893,0,3.9822712330395684,1.7781512503836436,0.0,0,7,5,845,1949
1039.0,4.0,3.0,0,0.0,894,668,2.0,1933,0,4.164293359314462,1.9344984512435677,74.0,18,5,6,894,2007
546.0,3.0,1.0,356,5.0,316,264,0.0,1218,1,3.2764618041732443,1.3222192947339193,285.0,28,5,6,672,1973
808.0,3.0,1.0,0,0.0,808,534,1.0,1969,1,4.077440584471324,1.9637878273455553,0.0,0,6,7,808,1977
870.0,3.0,1.0,1079,2.0,141,556,1.0,2090,0,4.0,1.9030899869919435,438.0,65,5,8,1220,1995
0.0,3.0,0.0,998,1.0,486,487,0.0,1484,1,4.087887849492933,1.845098040014257,0.0,0,6,5,1484,1971
0.0,4.0,1.0,0,0.0,1656,506,0.0,1656,1,3.965953889102063,1.9395192526186185,564.0,211,5,5,1656,1973
406.0,3.0,1.0,468,3.0,350,210,0.0,1224,1,3.59659709562646,1.8388490907372552,0.0,0,8,6,818,1926
1032.0,3.0,1.0,695,2.0,297,390,1.0,2054,0,4.087213341231615,1.8388490907372552,40.0,48,5,6,992,2000
0.0,2.0,1.0,0,0.0,832,576,0.0,854,1,3.7867514221455614,1.7075701760979363,0.0,112,8,7,832,1929
546.0,3.0,1.0,334,5.0,212,286,1.0,1092,1,3.295347148333618,1.8388490907372552,0.0,96,5,4,546,1973
0.0,3.0,0.0,196,1.0,1072,252,0.0,1268,0,3.967828679330155,1.8388490907372552,0.0,0,7,5,1268,1977
834.0,3.0,0.0,385,2.0,70,550,1.0,1661,0,4.028042295090749,1.6334684555795864,0.0,61,6,7,799,1996
0.0,3.0,0.0,370,5.0,315,502,2.0,1668,0,4.0267374942387475,1.6812412373755872,171.0,262,5,8,1657,2003
0.0,3.0,2.0,994,2.0,484,508,2.0,1493,0,4.1180993120779945,1.8750612633917,215.0,39,5,6,1478,1997
0.0,2.0,1.0,0,0.0,932,306,0.0,932,0,3.9180303367848803,1.7558748556724915,0.0,0,5,6,932,1950
0.0,2.0,2.0,778,2.0,499,526,0.0,1277,1,4.02645154573824,1.9294189257142926,0.0,0,5,7,1277,1970
0.0,3.0,0.0,1300,2.0,230,630,2.0,1530,0,4.163519162569878,2.2600713879850747,0.0,36,5,7,1530,2004
0.0,2.0,1.0,457,1.0,193,484,0.0,1344,1,3.9778607292646972,1.8388490907372552,0.0,28,5,5,1024,1958
0.0,2.0,0.0,672,1.0,168,528,0.0,860,1,3.941511432634403,1.8692317197309762,0.0,0,6,5,840,1982
0.0,2.0,1.0,904,2.0,410,626,0.0,1314,0,3.699056854547668,1.5314789170422551,166.0,62,5,7,1314,2007
571.0,3.0,3.0,464,2.0,927,868,1.0,1962,0,3.9425041061680806,1.863322860120456,0.0,90,5,7,1391,2006
702.0,3.0,0.0,724,2.0,64,388,2.0,1490,0,4.187069271230423,1.7781512503836436,0.0,75,5,7,788,2004
0.0,1.0,0.0,662,2.0,186,420,0.0,848,0,3.6460114095912393,1.8388490907372552,169.0,0,5,6,848,2004
0.0,2.0,1.0,0,0.0,672,240,0.0,672,1,4.008600171761918,1.7781512503836436,0.0,0,8,5,672,1940
1152.0,4.0,1.0,275,2.0,877,252,1.0,2340,0,3.9562645026982755,1.8195439355418688,0.0,60,9,7,1152,1941
704.0,3.0,1.0,0,0.0,660,180,0.0,1656,1,4.017450729510536,1.7781512503836436,0.0,0,7,5,660,1916
754.0,4.0,1.0,626,1.0,99,484,2.0,1479,0,3.873436863222037,1.8388490907372552,138.0,32,9,7,725,1972
0.0,3.0,1.0,0,0.0,1226,740,1.0,1226,0,4.017116849438813,1.9731278535996986,0.0,36,5,7,1226,2009
1111.0,5.0,2.0,568,4.0,264,444,2.0,2087,0,4.086537783753207,1.8388490907372552,157.0,168,8,6,832,1966
0.0,3.0,1.0,941,1.0,217,576,0.0,1158,0,4.11634203918834,1.7993405494535817,0.0,50,5,6,1158,2004
0.0,3.0,3.0,740,5.0,184,480,1.0,1154,1,4.041392685158225,1.8388490907372552,200.0,58,6,5,1154,1966
844.0,3.0,0.0,0,0.0,880,527,2.0,1724,0,3.9505595616118003,1.7558748556724915,0.0,155,5,7,880,1998
885.0,3.0,1.0,219,2.0,554,431,2.0,1658,1,3.9030899869919438,1.8388490907372552,0.0,84,5,6,773,1995
0.0,2.0,1.0,0,0.0,0,520,2.0,1126,0,3.943346098356591,1.8260748027008264,0.0,96,5,4,0,1949
521.0,3.0,1.0,0,0.0,816,300,0.0,1393,1,4.2165881110755015,1.7708520116421442,0.0,0,7,5,816,1955
1479.0,4.0,3.0,192,3.0,536,1014,0.0,3447,0,4.14921911265538,1.8388490907372552,632.0,12,9,8,728,1935
504.0,2.0,1.0,309,5.0,174,264,0.0,987,1,3.2907022432878543,1.3222192947339193,408.0,0,5,6,483,1973
547.0,4.0,1.0,351,1.0,112,0,0.0,1355,1,4.004579293902212,1.792391689498254,0.0,0,7,5,644,1940
0.0,4.0,2.0,425,2.0,160,505,1.0,2069,0,4.4416951356407175,2.4955443375464483,0.0,0,7,7,585,1960
0.0,3.0,1.0,549,1.0,195,440,0.0,1501,1,3.357934847000454,1.380211241711606,360.0,0,5,7,744,1999
0.0,2.0,2.0,1350,0.0,626,908,1.0,1976,0,4.175424829790322,2.041392685158225,304.0,63,5,8,1976,2006
